"Onderwijssoort";"Totaal middelbaar beroepsonderwijs";"Hoger beroepsonderwijs";"Wetenschappelijk onderwijs"
"Perioden";"aantal";"aantal";"aantal"
"2005/'06";"483812";"356842";"205886"
"2006/'07";"496227";"366689";"208618"
"2007/'08";"509642";"374802";"212713"
"2008/'09";"513925";"383713";"220504"
"2009/'10";"522274";"403278";"233128"
"2010/'11";"528009";"416629";"242345"
"2011/'12";"519962";"423945";"245428"
"2012/'13";"510857";"421693";"241372"
"2013/'14";"498108";"440293";"250186"
"2014/'15";"481405";"446434";"255661"
"2015/'16";"476275";"442594";"261169"
"2016/'17*";"483927";"446585";"267905"
"© Centraal Bureau voor de Statistiek, Den Haag/Heerlen 12-10-2017"
